Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,188,86,58,182,216,157,155,179,200,238,267,233,46
Tuesday,169,71,68,156,180,164,152,131,192,243,264,278,35
Wednesday,179,71,68,211,200,136,154,162,221,272,264,252,31
Thursday,159,69,69,181,194,128,171,138,214,239,258,275,35
Friday,234,104,61,170,208,170,203,184,291,310,323,341,40
Saturday,281,152,82,132,200,183,185,174,263,267,306,375,40
Sunday,257,148,92,120,157,177,185,163,160,207,240,299,29
TOTAL,1467,701,498,1152,1355,1115,1205,1131,1541,1776,1922,2053,256
