Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,1764,3005,817,342,559,211
Black,1817,2633,762,200,360,118
Am. Ind./Alskn,2,3,1,0,1,0
Asian/Pacfc Isl.,23,38,6,6,4,5
Unknown,211,54,36,25,14,5
TOTAL,3817,5733,1622,573,938,339
