Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,397,50,17,1846,704,252
Black,150,16,5,760,292,126
Am. Ind./Alskn,0,0,0,2,1,2
Asian/Pacfc Isl.,2,1,0,23,10,4
Unknown,7,2,1,44,6,2
TOTAL,556,69,23,2675,1013,386
