Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,153,10.8
One-Man Vehicle,0,0
Alone,459,32.3
Assisted,469,33
Detective or Special Assignment Alone,23,1.6
Assisted,43,3
Other Assignments,0,0
Alone,78,5.5
Assisted,198,13.9
