Officers Assualted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""Disturbance"" calls (family quarrels, man with gun, etc.)",424,29.8
2. Burglaries in progress or pursuing burglary suspects,6,0.4
3. Robberies in progress or pursuing robbery suspects,6,0.4
4. Attempting other arrests,364,25.6
"5. Civil disorder (riot, mass disobedience)",13,0.9
"6. Handling, transporting, custody of prisoners",170,11.9
7. Investigating suspicious persons or circumstances,102,7.2
8. Ambush - no warning,3,0.2
9. Mentally deranged,28,2
10. Traffic pursuits and stops,140,9.8
11. All Other,167,11.7
TOTAL,1423,100
