Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,5039,5313,7839,7759,9666,7520,1081
Tuesday,4794,3256,7048,7356,9626,7979,1033
Wednesday,4941,3252,7023,7709,9759,7768,979
Thursday,4755,3062,6883,7530,9685,7901,940
Friday,5835,3162,7578,8596,11658,9072,1128
Saturday,7295,2714,6854,8396,9980,9288,1007
Sunday,6464,2374,5592,7114,8060,7528,842
