Location,Total Offenses
Air/Bus/Train Terminal,2
Bank/Savings and Loan,1
Bar/Night Club,3
Church/Synagogue/Temple,12
Commercial/Office Building,37
Construction Site,21
Convenience Store,8
Department/Discount Store,8
Drug Store/Doctor's Office/Hospital,6
Field/Woods,120
Government/Public Building,22
Grocery/Supermarket,7
Highway/Road/Alley,153
Hotel/Motel/Etc.,14
Jail/Prison,1
Lake/Waterway,2
Liquor Store,0
Parking Lot/Garage,99
Rental Storage Facility,9
Residence/Home,680
Restaurant,18
School/College,130
Service/Gas Station,8
Specialty Store,17
Other/Unknown,132
Total,1510
