Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,615,1113,340,179,257,93
Black,1516,1842,525,165,288,106
Am. Ind./Alskn,0,2,0,0,0,0
Asian/Pacfc Isl.,4,7,2,4,3,0
Unknown,69,33,22,10,9,3
TOTAL,2204,2997,889,358,557,202
