Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,392,1045,635,74,406,422
Black,335,951,683,84,349,294
Am. Ind./Alskn,3,11,10,0,6,0
Asian/Pacfc Isl.,11,52,48,1,31,32
Unknown,19,38,23,4,12,6
TOTAL,760,2097,1399,163,804,754
