CIU Plain Clothes Investigative Unit Personnel Position,Number of Employees
Lieutenant,1
Sergeant,1
Detective,5
Forensic Detective,1
Street Crimes Officer,1
Drug Task Force Officer,1
Evidence Technician/Property Clerk,1
