Type of Crime,2011,2012,2013
Murder & Attempts,0,0,0
Rape & Attempts,16,20,16
Robbery,6,11,4
Aggravated Assaults,9,12,16
Burglary,78,79,85
Larceny-Theft,468,366,412
Motor Vehicle Theft,13,18,15
Arson,3,7,9
