Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement ,0,0,0,1,18,36,55
Stolen Property Offenses ,0,7,32,34,31,48,152
Destruction/Damage/Vandalism ,19,137,322,209,249,293,1229
Drug/Narcotic Violations ,3,30,286,428,657,1122,2526
Drug Equipment Violations ,0,0,6,2,4,7,19
Incest ,0,0,0,0,0,0,0
Statutory Rape ,0,0,0,0,2,10,12
Pornography/Obscene Material ,0,2,16,1,4,1,24
Betting/Wagering ,0,0,0,2,2,1,5
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0
Gambling Equipment Violations ,0,0,0,0,0,0,0
Sports Tampering ,0,0,0,0,0,0,0
Prostitution ,0,0,0,0,0,1,1
Assisting or Promoting Prostitution ,0,0,0,0,0,0,0
Bribery ,0,0,0,0,0,0,0
Weapon Law Violations ,6,44,90,73,106,124,443
Total Group A Arrests ,83,1177,3659,3338,4070,5201,17528
Bad Checks ,2,1,0,1,3,3,10
Curfew/Loitering/Vagrancy Violations ,5,71,371,468,707,795,2417
Disorderly Conduct ,1,89,302,244,350,323,1309
Driving Under the Influence ,2,2,4,6,43,145,202
Drunkenness ,3,1,34,45,80,119,282
"Family Offenses, Nonviolent ",0,3,8,4,14,15,44
Liquor Law Violations ,0,10,157,318,568,1050,2103
Peeping Tom ,0,0,3,1,1,0,5
Runaway ,16,158,928,1091,1251,1090,4534
Trespass of Real Property ,1,38,208,253,278,395,1173
Conspiracy to Commit Group A Offense ,0,0,0,1,1,1,3
All Other Offenses (except most traffic) ,34,242,1212,1352,1936,2443,7219
Total Group B Arrests ,64,615,3227,3784,5232,6379,19301
