Time of Offense,Percentage of Robberies
Midnight - 5:59 a.m.,23.10%
6:00 a.m. - 11:59 a.m.,7.60%
Noon - 5:59 p.m.,18.60%
6:00 p.m. - 11:59 p.m.,43.40%
Unknown,7.30%
