Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks ,1871,2528,55.81
Curfew/Loitering/Vagrancy Violations ,1754,846,32.98
Disorderly Conduct ,3924,1794,72.54
Driving Under the Influence ,22670,6326,367.85
Drunkenness ,29306,5588,442.67
"Family Offenses, Nonviolent ",1239,488,21.91
Liquor Law Violations ,9943,3790,174.22
Peeping Tom ,74,0,0.94
Runaway ,2035,2499,57.52
Trespass of Real Property ,9076,2167,142.63
Conspiracy to Commit Group A Offense ,80,28,1.37
All Other Offenses (except most traffic) ,72865,27307,1270.8
Total ,154837,53361,2641.24
