Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
"Alcoholic Bev. Control, Dept.",111,90,21,27
"Capitol Police, Division",71,60,11,13
"Conservation & Rec., Dept.",107,97,10,144
"Game&Inland Fisheries, Dept",171,161,10,16
"Motor Vehicles, Dept.",72,67,5,14
"Virginia State Police, Dept.",1863,1760,103,688
Metro. Wash.Airport Auth.,191,150,41,74
Norfolk Airport Authority,37,34,3,7
Richmond Int'l Airport,26,23,3,8
Southside Va. Trng Center,16,14,2,2
Virginia Port Authority,81,68,13,7
OTHER AGENCY TOTAL,2746,2524,222,1000
