Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,115,9.4
One-Man Vehicle,,
Alone,365,29.8
Assisted,418,34.1
Detective or Special Assignment,,
Alone,8,0.7
Assisted,34,2.8
Other Assignments,,
Alone,90,7.3
Assisted,195,15.9
Total,1225,100
