Age,Number,Percent Distribution
Under 10 ,147,0.04
10--12 ,1792,0.52
13--14 ,6886,1.99
15,7122,2.06
16,9302,2.69
17,11580,3.35
18,16571,4.79
19,17371,5.02
20,16158,4.67
21,14995,4.34
22,13614,3.94
23,12917,3.73
24,12190,3.52
25-29 ,51032,14.75
30-34 ,35731,10.33
35-39 ,30429,8.8
40-44 ,28930,8.36
45-49 ,25973,7.51
50-54 ,17090,4.94
55-59 ,8595,2.48
60-64 ,4158,1.2
65 & Over ,3301,0.95
Total ,345884,100
