Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,4399,3237,1140,,22
Curfew/Loitering/Vagrancy Violations ,2600,1237,1343,,20
Disorderly Conduct ,5718,2567,3102,4,45
Driving Under the Influence ,28996,22446,6038,38,474
Drunkenness ,34894,25832,8704,35,323
"Family Offenses, Nonviolent ",1727,780,936,,11
Liquor Law Violations ,13733,10669,2806,16,242
Peeping Tom ,74,47,26,,1
Runaway ,4534,2135,2364,3,32
Trespass of Real Property ,11243,4627,6502,3,111
Conspiracy to Commit Group A Offense ,108,69,39,,
All Other Offenses (except most traffic) ,100172,56584,42707,80,801
Total ,208198,130230,75707,179,2082
