Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday ,100,57,28,10,32,32,50,66,68,98,171,135,58
Tuesday ,91,57,21,12,24,41,43,65,62,90,167,176,59
Wednesday ,101,45,20,15,16,38,54,65,64,82,150,153,68
Thursday ,94,57,19,12,22,33,57,53,75,87,150,134,64
Friday ,102,68,33,14,21,40,52,68,89,83,138,175,82
Saturday ,156,104,46,32,17,25,31,38,50,93,133,170,62
Sunday ,121,99,39,15,14,16,35,47,45,83,126,147,71
TOTAL,765,487,206,110,146,225,322,402,453,616,1035,1090,464
