Location,Number of Offenses
Air/Bus/Train Terminal,474
Bank/Savings & Loan,382
Bar/Night Club,742
Church/Synagogue/Temple,588
Commercial/Office Building,3609
Construction Site,959
Convenience Store,5920
Department/Discount Store,17687
Drug Store/Dr Office/Hospital,1853
Field/Woods,977
Government/Public Building,1186
Grocery/Supermarket,5723
Highway/Road/Alley,13241
Hotel/Motel/Etc.,1643
Jail/Penitentiary,50
Lake/Waterway,300
Liquor Store,1142
Parking Lot/Garage,22046
Rental/Storage Facility,384
Residence/Home,49050
Restaurant,2261
School/College,6278
Service/Gas Station,2113
Specialty Store,4506
Other/Unknown,8284
Total,151398
