Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter  ,286,103,181,,2
Negligent Manslaughter,11,5,6,,
Kidnaping/Abduction  ,1030,523,490,6,11
Forcible Rape,325,181,139,,5
Forcible Sodomy  ,176,127,46,,3
Sexual Assault with an Object,101,70,30,,1
Forcible Fondling,676,461,202,,13
Robbery,1948,484,1458,,6
Aggravated Assault  ,4533,2249,2244,5,35
Simple Assault  ,38357,21030,16972,28,327
Intimidation  ,1731,1039,681,2,9
Arson,300,191,106,1,2
Extortion/Blackmail  ,79,38,41,,
Burglary/Breaking & Entering  ,4482,2616,1844,1,21
Pocket Picking,201,120,78,,3
Purse Snatching,40,22,18,,
Shoplifting  ,15875,8624,7083,7,161
Theft from Building,837,526,303,,8
Theft from Coin-Operated Machine or Device,35,31,4,,
Theft from Motor Vehicle,650,442,202,,6
Theft of Motor Vehicle Parts or Accessories  ,143,86,57,,
All Other Larceny  ,12825,6981,5702,4,138
Motor Vehicle Theft  ,1030,573,453,1,3
Counterfeiting/Forgery,2341,1518,796,,27
False Pretenses/Swindle/Confidence Game,2986,1742,1214,1,29
Credit Card/Automatic Teller Machine Fraud  ,448,281,162,2,3
Impersonation  ,606,316,280,,10
Welfare Fraud  ,68,39,28,,1
Wire Fraud,7,5,2,,
Embezzlement  ,1720,986,713,1,20
Stolen Property Offenses,1045,474,565,1,5
Destruction/Damage/Vandalism of Property,4758,2941,1784,1,32
Drug/Narcotic Violations,32310,17550,14549,16,195
Drug Equipment Violations  ,309,224,82,,3
Incest,9,8,1,,
Statutory Rape,128,80,47,,1
Pornography/Obscene Material ,137,114,20,,3
Betting/Wagering  ,55,20,33,,2
Operating/Promoting/Assisting Gambling  ,43,33,4,,6
Gambling Equipment Violation,4,1,3,,
Sports Tampering  ,1,1,,,
Prostitution,742,342,390,1,9
Assisting or Promoting Prostitution,164,102,53,,9
Bribery,13,6,6,,1
Weapon Law Violations,4121,2051,2044,2,24
Total  ,137686,75356,61116,80,1134
