Location,Total Offenses
Air/Bus/Train Terminal,2
Bank/Savings and Loan,2
Bar/Night Club,4
Church/Synagogue/Temple,22
Commercial/Office Building,28
Construction Site,11
Convenience Store,4
Department/Discount Store,5
Drug Store/Dr Office/Hospital,9
Field/Woods,108
Government/Public Building,17
Grocery/Supermarket,3
Highway/Road/Alley,151
Hotel/Motel/Etc.,4
Jail/Prison,4
Lake/Waterway,2
Liquor Store,0
Parking Lot/Garage,108
Rental Storage Facility,6
Residence/Home,593
Restaurant,7
School/College,89
Service/Gas Station,5
Specialty Store,14
Other/Unknown,113
