Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,17,15,2,6
Emory & Henry College PD,2,2,0,2
Ferrum College PD,6,4,2,0
George Mason Univ. PD,53,42,11,16
Hampton University PD,21,19,2,12
James Madison Univ. PD,28,25,3,8
J Sargeant Reynolds C.C. PD,11,9,2,17
Longwood University PD,15,14,1,6
Norfolk State University PD,23,17,6,14
Northern Virginia C.C. PD,45,40,5,1
Old Dominion University PD,47,40,7,10
Radford University PD,20,16,4,5
Richard Bland College PD,7,7,0,0
Thomas Nelson College PD,12,10,2,4
U. of Mary Washington PD,15,13,2,7
University of Richmond PD,19,16,3,13
University of Virginia PD,56,42,14,65
UVA's College at Wise PD,9,8,1,1
Va. Commonwealth U. PD,81,68,13,120
Va. Military Institute PD,8,8,0,0
Virginia State University PD,19,11,8,16
Virginia Tech University PD,47,41,6,25
Virginia Western C.C. PD,8,8,0,0
William & Mary College PD,18,17,1,5
COLLEGE AND UNIVERSITY TOTAL,587,492,95,353
