Locality,Number
Albemarle County,1.1
Fairfax County,1.2
James City County,1.3
Prince William County,1.4
Prince George County,1.4
Roanoke County,1.5
Chesterfield County,1.6
Arlington County,1.7
Henrico County,1.9
City of Charlottesville,2.6
