2009,,,,,,,,,,,,,
OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,1,0,1,0,0,0,0,1,1,3,2,1,10
ABDUCTION/KIDNAPPING,4,1,2,2,2,0,2,4,0,2,1,1,21
FORCIBLE RAPE,0,3,2,1,2,2,1,1,1,4,1,1,19
OTHER FORCIBLE SEX OFFENSES,7,2,5,9,7,7,7,11,5,5,12,3,80
ROBBERY,16,13,12,7,25,15,14,14,11,16,17,14,174
AGGRAVATED ASSAULT,16,15,9,14,16,21,24,16,12,16,9,12,180
SIMPLE ASSAULT/INTIMIDATION,137,142,143,166,163,162,164,181,201,205,160,168,"1,992"
ARSON,2,1,3,3,3,2,4,2,2,3,3,5,33
EXTORTION/BLACKMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0
RESIDENTIAL BURGLARY,44,21,44,40,65,48,61,51,57,58,89,64,642
COMMERCIAL BURGLARY,9,10,10,10,13,8,12,18,8,8,10,11,127
SHOPLIFTING,75,70,98,75,109,101,138,101,95,119,102,99,"1,182"
THEFT FROM BUILDING,8,3,12,7,8,10,14,8,6,8,9,5,98
OTHER LARCENIES,247,187,208,207,200,267,247,274,229,234,229,234,"2,763"
MOTOR VEHICLE THEFT,26,30,52,28,26,43,33,32,25,34,31,35,395
COUNTERFEITING/FORGERY,16,14,16,8,11,28,31,29,35,24,18,15,245
FRAUD,52,33,50,41,36,45,32,32,44,39,32,38,474
EMBEZZLEMENT,9,9,12,13,12,10,10,14,9,9,9,17,133
STOLEN PROPERTY OFFENSES,1,2,6,8,5,5,3,1,2,3,4,2,42
DESTRUCTION/VANDALISM,223,147,196,217,253,240,231,221,188,180,198,170,"2,464"
DRUG/NARCOTIC OFFENSES,93,81,155,69,62,78,86,76,93,72,73,70,"1,008"
NONFORCIBLE SEX OFFENSES,0,1,0,3,0,0,1,0,0,0,1,0,6
PORNOGRAPHY,0,1,3,0,1,0,0,0,0,1,0,0,6
GAMBLING,0,0,1,2,0,0,0,0,0,0,0,0,3
PROSTITUTION,0,5,0,0,0,3,1,1,0,0,0,4,14
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,43,27,34,33,31,45,37,37,41,24,26,22,400
TOTAL GROUP A OFFENSES,"1,029",818,"1,074",963,"1,050","1,140","1,153","1,125","1,065","1,067","1,036",991,"12,511"
2010,,,,,,,,,,,,,
OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,0,0,1,0,2,0,2,1,1,3,2,1,13
ABDUCTION/KIDNAPPING,0,3,6,0,1,3,3,3,2,1,2,0,24
FORCIBLE RAPE,4,3,1,0,1,2,6,1,3,2,3,2,28
OTHER FORCIBLE SEX OFFENSES,10,4,6,5,6,4,2,9,2,3,4,4,59
ROBBERY,13,11,8,21,9,14,8,8,22,14,14,15,157
AGGRAVATED ASSAULT,8,6,10,15,11,9,11,20,12,18,16,11,147
SIMPLE ASSAULT/INTIMIDATION,179,152,181,218,204,181,179,164,195,181,159,150,2143
ARSON,2,1,3,3,0,1,4,2,2,2,4,0,24
EXTORTION/BLACKMAIL,0,0,0,0,1,0,0,0,0,0,0,0,1
RESIDENTIAL BURGLARY,48,37,58,42,51,59,35,35,71,63,62,47,608
COMMERCIAL BURGLARY,11,11,13,9,11,8,5,10,8,15,11,9,121
SHOPLIFTING,93,95,111,137,114,95,110,135,112,108,82,98,1290
THEFT FROM BUILDING,9,7,3,8,12,7,6,15,12,13,12,8,112
OTHER LARCENIES,213,175,234,262,216,225,246,301,250,254,249,222,2847
MOTOR VEHICLE THEFT,24,15,29,27,22,28,33,32,15,28,27,43,323
COUNTERFEITING/FORGERY,18,8,7,8,22,11,8,19,13,22,17,14,167
FRAUD,53,48,33,27,41,51,32,35,42,45,54,34,495
EMBEZZLEMENT,15,16,14,17,11,14,16,11,12,11,19,15,171
STOLEN PROPERTY OFFENSES,1,5,0,1,3,3,1,3,0,3,2,3,25
DESTRUCTION/VANDALISM,173,136,191,173,174,212,224,257,219,230,205,159,2353
DRUG/NARCOTIC OFFENSES,73,62,68,86,62,50,72,59,57,85,73,59,806
NONFORCIBLE SEX OFFENSES,1,0,1,1,0,0,1,1,0,0,0,0,5
PORNOGRAPHY,1,0,0,0,1,0,0,2,0,2,0,0,6
GAMBLING,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSTITUTION,0,0,0,1,0,0,0,0,0,0,0,0,1
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,31,22,36,43,43,29,31,29,27,37,35,19,382
TOTAL GROUP A OFFENSES,980,817,"1,014","1,104","1,018","1,006","1,035","1,152","1,077","1,140","1,052",913,12308
2011,,,,,,,,,,,,,
OFFENSE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
MURDER/NONNEG MANSLAUGHTER,1,1,0,1,0,0,4,1,0,0,0,1,9
ABDUCTION/KIDNAPPING,2,1,1,0,4,1,2,2,2,1,4,5,25
FORCIBLE RAPE,4,1,1,3,0,0,2,1,2,1,2,3,20
OTHER FORCIBLE SEX OFFENSES,1,5,5,5,8,6,3,0,3,5,7,4,52
ROBBERY,7,8,13,5,12,9,8,6,21,15,15,30,149
AGGRAVATED ASSAULT,2,13,13,19,9,18,8,13,12,13,10,10,140
SIMPLE ASSAULT/INTIMIDATION,142,129,153,166,210,195,184,201,198,202,166,172,2118
ARSON,4,2,2,2,3,1,1,2,3,2,2,7,31
EXTORTION/BLACKMAIL,1,0,0,0,1,1,0,0,0,0,0,0,3
RESIDENTIAL BURGLARY,60,46,40,42,49,47,50,72,54,78,83,80,701
COMMERCIAL BURGLARY,4,4,5,7,12,10,7,11,2,12,9,13,96
SHOPLIFTING,89,62,84,87,109,100,90,97,82,107,104,88,1099
THEFT FROM BUILDING,6,10,8,12,14,6,9,14,13,13,16,10,131
OTHER LARCENIES,213,182,211,208,267,262,283,285,252,263,267,250,2943
MOTOR VEHICLE THEFT,36,17,19,12,19,12,38,27,22,25,27,13,267
COUNTERFEITING/FORGERY,13,9,11,6,10,21,16,33,20,13,16,26,194
FRAUD,40,38,37,52,32,35,52,41,45,33,51,42,498
EMBEZZLEMENT,10,12,6,17,13,11,12,12,11,11,7,17,139
STOLEN PROPERTY OFFENSES,3,1,2,0,3,2,2,6,4,1,3,2,29
DESTRUCTION/VANDALISM,172,160,191,174,181,175,201,230,194,203,214,229,2324
DRUG/NARCOTIC OFFENSES,82,79,82,94,79,83,65,61,64,64,85,66,904
NONFORCIBLE SEX OFFENSES,0,0,1,0,0,0,0,2,0,0,0,1,4
PORNOGRAPHY,1,0,0,3,0,2,0,1,1,3,0,2,13
GAMBLING,0,0,1,0,0,0,0,0,0,0,0,0,1
PROSTITUTION,0,5,0,0,0,0,0,0,0,1,1,0,7
BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0
WEAPON LAW VIOLATION,26,35,31,40,42,40,31,50,51,38,35,53,472
TOTAL GROUP A OFFENSES,919,820,917,955,"1,077","1,037","1,068","1,168","1,056","1,104","1,124","1,124",12369
2012,,,,,,,,,,,,,
MURDER/NONNEG MANSLAUGHTER,0,1,1,2,0,0,0,1,1,1,2,1,10
ABDUCTION/KIDNAPPING,2,4,3,4,2,0,4,1,1,1,1,2,25
FORCIBLE RAPE,0,1,0,3,3,1,1,0,0,3,0,0,12
OTHER FORCIBLE SEX OFFENSES,2,2,5,3,6,1,5,4,8,3,7,2,48
ROBBERY,15,7,12,14,16,18,12,11,11,17,7,8,148
AGGRAVATED ASSAULT,9,5,8,17,10,11,25,10,11,10,4,8,128
SIMPLE ASSAULT/INTIMIDATION,165,137,169,186,213,189,164,167,169,174,162,141,2036
ARSON,1,2,5,6,0,5,1,3,2,1,2,0,28
EXTORTION/BLACKMAIL,0,0,1,0,0,0,1,1,0,0,0,0,3
RESIDENTIAL BURGLARY,58,40,42,54,61,75,66,56,54,51,60,59,676
COMMERCIAL BURGLARY,5,7,4,13,5,1,6,4,7,5,6,9,72
SHOPLIFTING,99,63,79,69,80,79,82,86,83,96,81,109,1006
THEFT FROM BUILDING,13,11,8,9,17,18,14,6,8,8,11,10,133
OTHER LARCENIES,225,184,187,232,226,227,204,228,213,215,214,215,2570
MOTOR VEHICLE THEFT,19,24,19,23,31,26,18,13,21,16,25,31,266
COUNTERFEITING/FORGERY,23,21,16,15,9,14,18,19,28,32,37,31,263
FRAUD,47,45,40,42,46,36,38,51,30,27,63,34,499
EMBEZZLEMENT,11,11,5,14,2,10,12,7,9,7,5,11,104
STOLEN PROPERTY OFFENSES,1,0,4,0,1,1,6,3,1,2,5,3,27
DESTRUCTION/VANDALISM,190,155,172,178,181,212,223,173,176,155,182,187,2184
DRUG/NARCOTIC OFFENSES,64,74,104,86,90,90,67,62,90,76,87,106,996
NONFORCIBLE SEX OFFENSES,1,0,0,0,0,1,0,2,2,0,0,0,6
PORNOGRAPHY,1,0,0,1,0,2,0,0,0,0,0,2,6
GAMBLING,1,0,0,0,0,0,0,0,0,0,0,0,1
