Court,Assessed,Collected,Percent,Assessed,Collected,Percent
Circuit Court,296335,107097,63.14,47988,53481,111.45
General District Court,685644,489340,71.37,174817,126345,72.27
Juvenile Court,56941,34587,60.74,17188,8674,50.46
