FIPPS,LOCALITY,COURT,Fines/Cost/ Interest Assessed,Amount sent to Collections,Collection Agent Remittance,Court Receipts,Court %
163,ROCKBRIDGE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
163,ROCKBRIDGE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
163,ROCKBRIDGE,COMBINED,"1,423,223.50","204,166.26",0.00,"1,192,805.15",83.81%
165,ROCKINGHAM\H'BG,CIRCUIT,"2,040,762.45","555,378.07",0.00,"1,380,245.79",67.63%
165,ROCKINGHAM\H'BG,GENERAL DISTRICT,"3,506,192.60","808,430.89",0.00,"2,620,632.27",74.74%
165,ROCKINGHAM\H'BG,JUVENILE,"201,760.38","75,335.43",0.00,"123,937.57",61.43%
165,ROCKINGHAM\H'BG,COMBINED,0.00,0.00,0.00,0.00,0.00%
167,RUSSELL,CIRCUIT,"377,605.70","242,273.18",0.00,"161,889.31",42.87%
167,RUSSELL,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
167,RUSSELL,JUVENILE,"47,038.40","15,353.68",0.00,"28,776.14",61.18%
167,RUSSELL,COMBINED,"533,403.25","126,313.25",0.00,"392,038.65",73.50%
169,SCOTT,CIRCUIT,"268,853.23","106,635.64",0.00,"137,258.92",51.05%
169,SCOTT,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
169,SCOTT,JUVENILE,0.00,0.00,0.00,0.00,0.00%
169,SCOTT,COMBINED,"574,489.08","120,741.09",0.00,"407,420.04",70.92%
171,SHENANDOAH,CIRCUIT,"504,339.26","184,644.07",0.00,"353,379.45",70.07%
171,SHENANDOAH,GENERAL DISTRICT,-,-,0.00,-,0.00%
171,SHENANDOAH,JUVENILE,-,-,0.00,-,0.00%
171,SHENANDOAH,COMBINED,"1,780,463.30","314,257.97",0.00,"1,364,984.73",76.66%
173,SMYTH,CIRCUIT,"481,560.28","188,109.35",0.00,"207,549.22",43.10%
173,SMYTH,GENERAL DISTRICT,"881,397.88","258,761.82",0.00,"591,294.89",67.09%
173,SMYTH,JUVENILE,"37,415.29","17,271.97",0.00,"20,701.67",55.33%
173,SMYTH,COMBINED,0.00,0.00,0.00,0.00,0.00%
175,SOUTHAMPTON\FKLN,CIRCUIT,"498,769.97","464,014.38",0.00,"267,038.98",53.54%
175,SOUTHAMPTON\FKLN,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
175,SOUTHAMPTON\FKLN,JUVENILE,0.00,0.00,0.00,0.00,0.00%
175,SOUTHAMPTON\FKLN,COMBINED,"2,006,343.96","388,036.70",0.00,"1,585,134.14",79.01%
177,SPOTSLYVANNIA,CIRCUIT,"909,269.42","429,466.13",0.00,"535,870.86",58.93%
177,SPOTSLYVANNIA,GENERAL DISTRICT,"2,508,779.42","573,686.79",0.00,"1,820,319.42",72.56%
177,SPOTSLYVANNIA,JUVENILE,"167,303.83","44,833.06",0.00,"105,107.77",62.82%
177,SPOTSLYVANNIA,COMBINED,0.00,0.00,0.00,0.00,0.00%
179,STAFFORD,CIRCUIT,"2,380,066.63","600,901.94",0.00,"1,345,479.38",56.53%
179,STAFFORD,GENERAL DISTRICT,"2,638,879.48","598,822.25",0.00,"1,919,595.69",72.74%
179,STAFFORD,JUVENILE,"215,855.74","49,486.00",0.00,"149,266.11",69.15%
179,STAFFORD,COMBINED,0.00,0.00,0.00,0.00,0.00%
181,SURRY,CIRCUIT,"39,268.22","20,100.95",0.00,"18,750.37",47.75%
181,SURRY,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
181,SURRY,JUVENILE,0.00,0.00,0.00,0.00,0.00%
181,SURRY,COMBINED,"154,669.11","38,056.98",0.00,"109,197.99",70.60%
183,SUSSEX,CIRCUIT,"788,859.00","230,331.58",0.00,"540,462.40",68.51%
183,SUSSEX,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
183,SUSSEX,JUVENILE,0.00,0.00,0.00,0.00,0.00%
183,SUSSEX,COMBINED,"2,442,843.16","485,596.07",0.00,"1,875,162.94",76.76%
185,TAZEWELL,CIRCUIT,"1,132,573.01","841,140.04",0.00,"323,815.39",28.59%
185,TAZEWELL,GENERAL DISTRICT,"975,176.69","274,747.59",0.00,"650,526.77",66.71%
185,TAZEWELL,JUVENILE,"88,284.34","30,422.68",0.00,"47,228.41",53.50%
185,TAZEWELL,COMBINED,0.00,0.00,0.00,0.00,0.00%
187,WARREN,CIRCUIT,"527,114.49","164,257.26",0.00,"341,648.56",64.81%
187,WARREN,GENERAL DISTRICT,"1,218,171.25","231,964.41",0.00,"958,082.86",78.65%
187,WARREN,JUVENILE,"73,261.94","22,056.25",0.00,"44,099.43",60.19%
187,WARREN,COMBINED,0.00,0.00,0.00,0.00,0.00%
191,WASHINGTON,CIRCUIT,"545,701.62","6,740.78",0.00,"284,347.51",52.11%
191,WASHINGTON,GENERAL DISTRICT,"1,125,703.75","233,975.89",0.00,"817,391.03",72.61%
191,WASHINGTON,JUVENILE,"76,466.39","18,058.43",0.00,"51,689.87",67.60%
191,WASHINGTON,COMBINED,0.00,0.00,0.00,0.00,0.00%
193,WESTMORELAND,CIRCUIT,"237,287.25","68,644.68",0.00,"131,813.66",55.55%
193,WESTMORELAND,GENERAL DISTRICT,"278,061.93","71,887.47",0.00,"196,419.90",70.64%
193,WESTMORELAND,JUVENILE,"24,769.21","8,593.50",0.00,"13,638.07",55.06%
193,WESTMORELAND,COMBINED,0.00,0.00,0.00,0.00,0.00%
195,WISE,CIRCUIT,"1,051,581.11","330,847.54",0.00,"879,374.54",83.62%
195,WISE,GENERAL DISTRICT,"1,151,031.93","268,786.31",0.00,"926,404.95",80.48%
195,WISE,JUVENILE,"39,317.41","14,707.46",0.00,"19,331.70",49.17%
195,WISE,COMBINED,0.00,0.00,0.00,0.00,0.00%
197,WYTHE,CIRCUIT,"1,437,641.38","76,590.81",0.00,"1,004,996.95",69.91%
197,WYTHE,GENERAL DISTRICT,"2,690,775.37","462,408.13",0.00,"2,147,954.34",79.83%
197,WYTHE,JUVENILE,"99,608.66","35,505.22",0.00,"50,633.84",50.83%
197,WYTHE,COMBINED,0.00,0.00,0.00,0.00,0.00%
199,YORK,CIRCUIT,"977,013.50","450,462.07",0.00,"705,335.16",72.19%
199,YORK,GENERAL DISTRICT,"1,677,120.86","436,668.81",0.00,"1,214,105.11",72.39%
199,YORK,JUVENILE,"95,752.10","28,024.83",0.00,"80,788.25",84.37%
199,YORK,COMBINED,0.00,0.00,0.00,0.00,0.00%
510,ALEXANDRIA,CIRCUIT,"2,636,481.11","702,885.94",0.00,"1,547,950.32",58.71%
510,ALEXANDRIA,GENERAL DISTRICT,"2,958,557.41","753,624.01",0.00,"2,063,686.38",69.75%
510,ALEXANDRIA,JUVENILE,"90,901.16","42,945.19",0.00,"42,369.06",46.61%
510,ALEXANDRIA,COMBINED,0.00,0.00,0.00,0.00,0.00%
520,BRISTOL,CIRCUIT,"663,836.87","172,512.74",0.00,"325,852.61",49.09%
520,BRISTOL,GENERAL DISTRICT,"911,210.91","225,890.84",0.00,"623,265.03",68.40%
520,BRISTOL,JUVENILE,"44,242.63","17,290.78",0.00,"23,224.14",52.49%
520,BRISTOL,COMBINED,0.00,0.00,0.00,0.00,0.00%
530,BUENA VISTA,CIRCUIT,"84,487.85","23,588.71",0.00,"61,369.08",72.64%
530,BUENA VISTA,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
530,BUENA VISTA,JUVENILE,0.00,0.00,0.00,0.00,0.00%
530,BUENA VISTA,COMBINED,"146,330.92","28,829.76",0.00,"114,594.62",78.31%
540,CHARLOTTESVILLE,CIRCUIT,"1,034,409.83","566,319.23",0.00,"375,488.56",36.30%
540,CHARLOTTESVILLE,GENERAL DISTRICT,"1,242,684.90","269,100.33",0.00,"917,915.69",73.87%
540,CHARLOTTESVILLE,JUVENILE,"69,529.23","35,806.07",0.00,"24,992.46",35.95%
540,CHARLOTTESVILLE,COMBINED,0.00,0.00,0.00,0.00,0.00%
550,CHESAPEAKE,CIRCUIT,"5,473,419.82","2,216,808.08",0.00,"3,503,817.56",64.02%
550,CHESAPEAKE,GENERAL DISTRICT,"7,557,463.66","2,063,325.68",0.00,"5,105,986.16",67.56%
550,CHESAPEAKE,JUVENILE,"292,854.26","117,620.37",0.00,"165,290.59",56.44%
550,CHESAPEAKE,COMBINED,0.00,0.00,0.00,0.00,0.00%
560,CLIFTON FORGE,CIRCUIT,-,-,0.00,-,0.00%
560,CLIFTON FORGE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
560,CLIFTON FORGE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
560,CLIFTON FORGE,COMBINED,-,-,0.00,-,0.00%
570,COLONIAL HEIGHTS,CIRCUIT,"791,890.89","311,933.55",0.00,"458,699.87",57.92%
570,COLONIAL HEIGHTS,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
570,COLONIAL HEIGHTS,JUVENILE,0.00,0.00,0.00,0.00,0.00%
570,COLONIAL HEIGHTS,COMBINED,"1,092,480.38","294,256.01",0.00,"683,011.52",62.52%
590,DANVILLE,CIRCUIT,"987,383.96","629,579.18",0.00,"89,612.59",9.08%
590,DANVILLE,GENERAL DISTRICT,"1,527,050.13","513,281.89",0.00,"1,023,442.00",67.02%
590,DANVILLE,JUVENILE,"140,310.18","65,755.08",0.00,"55,580.76",39.61%
590,DANVILLE,COMBINED,"1,922,114.97","402,635.23",0.00,"1,493,388.51",77.70%
595,EMPORIA,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
595,EMPORIA,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
595,EMPORIA,JUVENILE,0.00,0.00,0.00,0.00,0.00%
595,EMPORIA,COMBINED,-,-,0.00,-,0.00%
600,FAIRFAX CITY,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
600,FAIRFAX CITY,GENERAL DISTRICT,"1,359,586.81","140,690.72",0.00,"1,119,110.93",82.31%
600,FAIRFAX CITY,JUVENILE,0.00,0.00,0.00,0.00,0.00%
600,FAIRFAX CITY,COMBINED,0.00,0.00,0.00,0.00,0.00%
610,FALLS CHURCH,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
610,FALLS CHURCH,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
610,FALLS CHURCH,JUVENILE,0.00,0.00,0.00,0.00,0.00%
610,FALLS CHURCH,COMBINED,"585,063.87","203,409.94",0.00,"377,411.38",64.51%
620,FRANKLIN CITY,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
620,FRANKLIN CITY,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
620,FRANKLIN CITY,JUVENILE,0.00,0.00,0.00,0.00,0.00%
620,FRANKLIN CITY,COMBINED,"231,900.55","60,098.68",0.00,"158,065.51",68.16%
630,FREDERICKSBURG,CIRCUIT,"1,134,451.51","480,205.57",0.00,"513,322.95",45.25%
630,FREDERICKSBURG,GENERAL DISTRICT,"1,783,886.84","420,250.47",0.00,"1,289,484.55",72.29%
630,FREDERICKSBURG,JUVENILE,"70,970.58","32,005.14",0.00,"34,451.23",48.54%
630,FREDERICKSBURG,COMBINED,0.00,0.00,0.00,0.00,0.00%
640,GALAX,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
640,GALAX,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
640,GALAX,JUVENILE,0.00,0.00,0.00,0.00,0.00%
640,GALAX,COMBINED,"333,887.54","99,948.11",0.00,"201,730.72",60.42%
650,HAMPTON,CIRCUIT,"2,653,298.45","912,817.06",0.00,"1,289,789.63",48.61%
650,HAMPTON,GENERAL DISTRICT,"4,148,961.06","1,285,328.77",0.00,"2,904,404.06",70.00%
650,HAMPTON,JUVENILE,"212,374.92","108,965.30",0.00,"81,837.16",38.53%
650,HAMPTON,COMBINED,0.00,0.00,0.00,0.00,0.00%
670,HOPEWELL,CIRCUIT,"427,948.62","286,872.30",0.00,"150,181.22",35.09%
670,HOPEWELL,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
670,HOPEWELL,JUVENILE,0.00,0.00,0.00,0.00,0.00%
670,HOPEWELL,COMBINED,"666,456.90","258,452.40",0.00,"370,384.42",55.58%
680,LYNCHBURG,CIRCUIT,"1,441,954.50","644,630.08",0.00,"761,600.16",52.82%
680,LYNCHBURG,GENERAL DISTRICT,"1,903,855.73","575,524.70",0.00,"1,190,590.69",62.54%
680,LYNCHBURG,JUVENILE,"114,951.08","63,706.48",0.00,"47,652.56",41.45%
680,LYNCHBURG,COMBINED,0.00,0.00,0.00,0.00,0.00%
690,MARTINSVILLE,CIRCUIT,"820,369.92","461,738.65",0.00,"305,661.15",37.26%
690,MARTINSVILLE,GENERAL DISTRICT,"683,096.16","183,900.99",0.00,"464,708.65",68.03%
690,MARTINSVILLE,JUVENILE,"53,186.00","37,095.76",0.00,"21,882.71",41.14%
690,MARTINSVILLE,COMBINED,0.00,0.00,0.00,0.00,0.00%
700,NEWPORT NEWS,CIRCUIT,"4,472,823.26","2,004,641.94",0.00,"2,142,443.03",47.90%
700,NEWPORT NEWS,GENERAL DISTRICT,"7,081,127.49","2,143,201.77",0.00,"4,773,656.77",67.41%
700,NEWPORT NEWS,JUVENILE,"291,685.32","167,458.28",0.00,"111,874.67",38.35%
700,NEWPORT NEWS,COMBINED,0.00,0.00,0.00,0.00,0.00%
710,NORFOLK,CIRCUIT,"6,173,558.97","3,148,885.01",0.00,"1,312,988.31",21.27%
710,NORFOLK,GENERAL DISTRICT,"8,705,590.36","3,552,229.35",0.00,"4,980,024.68",57.20%
710,NORFOLK,JUVENILE,"344,441.46","195,433.69",0.00,"117,235.70",34.04%
710,NORFOLK,COMBINED,0.00,0.00,0.00,0.00,0.00%
720,NORTON,CIRCUIT,0.00,0.00,0.00,0.00,0.00%
720,NORTON,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
720,NORTON,JUVENILE,0.00,0.00,0.00,0.00,0.00%
720,NORTON,COMBINED,0.00,0.00,0.00,0.00,0.00%
730,PETERSBURG,CIRCUIT,"994,919.20","538,593.00",0.00,"448,288.88",45.06%
730,PETERSBURG,GENERAL DISTRICT,"1,788,180.55","533,411.47",0.00,"1,162,230.73",65.00%
730,PETERSBURG,JUVENILE,"186,883.60","132,477.01",0.00,"35,721.46",19.11%
730,PETERSBURG,COMBINED,0.00,0.00,0.00,0.00,0.00%
740,PORTSMOUTH,CIRCUIT,"3,861,585.64","2,382,969.47",0.00,"455,008.68",11.78%
740,PORTSMOUTH,GENERAL DISTRICT,"2,450,684.97","1,035,974.69",0.00,"1,553,854.69",63.40%
740,PORTSMOUTH,JUVENILE,"203,977.62","126,186.68",0.00,"79,272.78",38.86%
740,PORTSMOUTH,COMBINED,0.00,0.00,0.00,0.00,0.00%
750,RADFORD,CIRCUIT,"218,797.17","132,242.05",0.00,"108,555.24",49.61%
750,RADFORD,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
750,RADFORD,JUVENILE,0.00,0.00,0.00,0.00,0.00%
750,RADFORD,COMBINED,"588,957.01","189,026.16",0.00,"377,843.10",64.15%
760,RICHMOND CITY,CIRCUIT,"3,411,557.37","1,988,864.27",0.00,"962,028.24",28.20%
760,RICHMOND CITY,GENERAL DISTRICT,"7,575,387.17","1,808,260.70",0.00,"5,598,398.04",73.90%
760,RICHMOND CITY,JUVENILE,"215,397.68","129,333.92",0.00,"48,035.68",22.30%
760,RICHMOND CITY,COMBINED,0.00,0.00,0.00,0.00,0.00%
764,RICHMOND CITY MAN,CIRCUIT,"1,285,428.82","732,947.03",0.00,"401,852.39",31.26%
764,RICHMOND CITY MAN,GENERAL DISTRICT,"2,622,846.71","1,434,362.07",0.00,"589,069.62",22.46%
764,RICHMOND CITY MAN,JUVENILE,0.00,0.00,0.00,0.00,0.00%
764,RICHMOND CITY MAN,COMBINED,0.00,0.00,0.00,0.00,0.00%
770,ROANOKE CITY,CIRCUIT,"1,357,102.24","512,643.42",0.00,"844,064.92",62.20%
770,ROANOKE CITY,GENERAL DISTRICT,"3,538,076.07","911,119.48",0.00,"2,839,917.40",80.27%
770,ROANOKE CITY,JUVENILE,"156,167.59","83,059.27",0.00,"88,663.00",56.77%
770,ROANOKE CITY,COMBINED,0.00,0.00,0.00,0.00,0.00%
775,SALEM,CIRCUIT,"380,761.51","110,762.73",0.00,"185,871.00",48.82%
775,SALEM,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
775,SALEM,JUVENILE,0.00,0.00,0.00,0.00,0.00%
775,SALEM,COMBINED,"724,477.66","185,864.91",0.00,"531,925.06",73.42%
790,STAUNTON,CIRCUIT,"463,952.64","214,576.79",0.00,"171,780.78",37.03%
790,STAUNTON,GENERAL DISTRICT,"617,810.05","174,063.82",0.00,"415,622.09",67.27%
790,STAUNTON,JUVENILE,"79,901.82","45,498.66",0.00,"34,771.04",43.52%
790,STAUNTON,COMBINED,0.00,0.00,0.00,0.00,0.00%
800,SUFFOLK,CIRCUIT,"1,739,893.00","549,888.10",0.00,"836,229.65",48.06%
800,SUFFOLK,GENERAL DISTRICT,"1,924,244.38","393,154.88",0.00,"1,468,611.46",76.32%
800,SUFFOLK,JUVENILE,"93,893.92","48,543.68",0.00,"42,224.42",44.97%
800,SUFFOLK,COMBINED,0.00,0.00,0.00,0.00,0.00%
810,VIRGINIA BEACH,CIRCUIT,"6,934,898.49","1,981,335.62",0.00,"4,571,638.31",65.92%
810,VIRGINIA BEACH,GENERAL DISTRICT,"12,691,084.75","3,873,658.18",0.00,"9,589,030.82",75.56%
810,VIRGINIA BEACH,JUVENILE,"776,944.08","312,847.31",0.00,"542,419.91",69.81%
810,VIRGINIA BEACH,COMBINED,0.00,0.00,0.00,0.00,0.00%
820,WAYNESBORO,CIRCUIT,"388,423.90","166,018.19",0.00,"99,968.10",25.74%
820,WAYNESBORO,GENERAL DISTRICT,"668,154.33","196,783.46",0.00,"450,730.95",67.46%
820,WAYNESBORO,JUVENILE,"56,562.03","25,250.76",0.00,"29,346.90",51.88%
820,WAYNESBORO,COMBINED,0.00,0.00,0.00,0.00,0.00%
830,WILLIAMSBURG\JC,CIRCUIT,"1,425,050.84","393,315.19",0.00,"843,275.04",59.18%
830,WILLIAMSBURG\JC,GENERAL DISTRICT,"1,756,512.20","303,898.27",0.00,"1,429,611.10",81.39%
830,WILLIAMSBURG\JC,JUVENILE,"154,444.98","68,621.11",0.00,"75,336.56",48.78%
830,WILLIAMSBURG\JC,COMBINED,0.00,0.00,0.00,0.00,0.00%
840,WINCHESTER,CIRCUIT,"1,091,969.39","485,060.30",0.00,"333,850.37",30.57%
840,WINCHESTER,GENERAL DISTRICT,"1,263,421.87","360,997.62",0.00,"825,222.18",65.32%
840,WINCHESTER,JUVENILE,"50,488.30","21,204.27",0.00,"24,054.24",47.64%
840,WINCHESTER,COMBINED,0.00,0.00,0.00,0.00,0.00%
Supreme Court,Supreme Court,,"377,717,345.56","105,541,689.52",0.00,"255,986,404.63",67.77
