FIPPS,LOCALITY,COURT,Fines/Cost/ Interest Assessed,Amount sent to Collections,Collection Agent Remittance,Court Receipts,Court %
027,BUCHANAN,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
027,BUCHANAN,JUVENILE,0.00,0.00,0.00,0.00,0.00%
027,BUCHANAN,COMBINED,"592,632.34","214,361.40",0.00,"348,084.96",58.74%
029,BUCKINGHAM,CIRCUIT,"147,722.44","111,610.32",0.00,"54,997.73",37.23%
029,BUCKINGHAM,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
029,BUCKINGHAM,JUVENILE,0.00,0.00,0.00,0.00,0.00%
029,BUCKINGHAM,COMBINED,"297,958.50","66,577.18",0.00,"221,022.55",74.18%
031,CAMPBELL,CIRCUIT,"656,289.69","400,280.22",0.00,"252,588.18",38.49%
031,CAMPBELL,GENERAL DISTRICT,"898,132.70","165,095.82",0.00,"670,540.64",74.66%
031,CAMPBELL,JUVENILE,"84,844.45","27,853.06",0.00,"48,351.27",56.99%
031,CAMPBELL,COMBINED,0.00,0.00,0.00,0.00,0.00%
033,CAROLINE,CIRCUIT,"967,868.46","85,295.56",0.00,"828,721.67",85.62%
033,CAROLINE,GENERAL DISTRICT,"2,277,457.06","483,095.14",0.00,"1,723,660.09",75.68%
033,CAROLINE,JUVENILE,"55,144.22","25,199.27",0.00,"29,618.95",53.71%
033,CAROLINE,COMBINED,0.00,0.00,0.00,0.00,0.00%
035,CARROLL,CIRCUIT,"345,304.97","143,752.01",0.00,"200,700.68",58.12%
035,CARROLL,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
035,CARROLL,JUVENILE,0.00,0.00,0.00,0.00,0.00%
035,CARROLL,COMBINED,"1,039,338.84","217,625.41",0.00,"833,871.45",80.23%
036,CHARLES CITY,CIRCUIT,"100,902.72","34,743.88",0.00,"63,254.68",62.69%
036,CHARLES CITY,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
036,CHARLES CITY,JUVENILE,0.00,0.00,0.00,0.00,0.00%
036,CHARLES CITY,COMBINED,"142,829.19","30,966.68",0.00,"99,381.96",69.58%
037,CHARLOTTE,CIRCUIT,"243,261.19","161,031.14",0.00,"45,079.31",18.53%
037,CHARLOTTE,GENERAL DISTRICT,"516,264.76","110,277.07",0.00,"412,767.64",79.95%
037,CHARLOTTE,JUVENILE,"22,031.33","4,510.53",0.00,"13,799.58",62.64%
037,CHARLOTTE,COMBINED,0.00,0.00,0.00,0.00,0.00%
041,CHESTERFIELD,CIRCUIT,"5,491,723.48","1,505,885.00",0.00,"2,819,137.14",51.33%
041,CHESTERFIELD,GENERAL DISTRICT,"6,098,204.60","1,863,453.64",0.00,"4,305,092.22",70.60%
041,CHESTERFIELD,JUVENILE,"399,780.24","175,589.33",0.00,"220,229.50",55.09%
041,CHESTERFIELD,COMBINED,0.00,0.00,0.00,0.00,0.00%
043,CLARKE,CIRCUIT,"206,274.06","22,390.60",0.00,"173,702.24",84.21%
043,CLARKE,GENERAL DISTRICT,"440,170.46","64,818.68",0.00,"374,812.27",85.15%
043,CLARKE,JUVENILE,"13,393.64","3,603.28",0.00,"9,759.18",72.86%
043,CLARKE,COMBINED,0.00,0.00,0.00,0.00,0.00%
045,CRAIG,CIRCUIT,"23,893.47","4,548.18",0.00,"20,080.43",84.04%
045,CRAIG,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
