tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
51001000000,51,VA,001,Accomack County,000000,0,#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%"
51001990100,51,VA,001,Accomack County,990100,"2,061",7,313,2.2%,110,"2,250",4.9%,33,206,16.0%,5.1%,0.0%
51001990200,51,VA,001,Accomack County,990200,"3,357",19,554,3.4%,11,"1,718",0.6%,89,365,24.4%,5.1%,0.0%
51001990300,51,VA,001,Accomack County,990300,"1,144",8,181,4.4%,0,615,0.0%,37,119,31.1%,5.1%,0.0%
51001990400,51,VA,001,Accomack County,990400,"2,048",17,335,5.1%,0,851,0.0%,78,221,35.3%,5.1%,0.0%
51001990500,51,VA,001,Accomack County,990500,"1,138",13,214,6.1%,0,378,0.0%,58,141,41.1%,5.1%,0.0%
51001990600,51,VA,001,Accomack County,990600,"1,983",14,372,3.8%,10,"1,649",0.6%,63,245,25.7%,5.1%,0.0%
51001990700,51,VA,001,Accomack County,990700,"2,025",22,508,4.3%,1,929,0.1%,100,335,29.9%,5.1%,0.0%
51001990800,51,VA,001,Accomack County,990800,"1,514",10,258,3.9%,0,467,0.0%,48,170,28.2%,5.1%,0.0%
51003010100,51,VA,003,Albemarle County,010100,"1,677",3,792,0.4%,0,"1,836",0.0%,43,522,8.2%,3.3%,-0.4%
51003010200,51,VA,003,Albemarle County,010200,"2,685",21,"1,842",1.1%,0,"3,066",0.0%,158,"1,214",13.0%,3.3%,-0.4%
51003010300,51,VA,003,Albemarle County,010300,"2,393",6,"1,689",0.4%,0,"3,082",0.0%,88,"1,113",7.9%,3.3%,-0.4%
51003010400,51,VA,003,Albemarle County,010400,"2,507",13,"1,581",0.8%,0,"2,944",0.0%,115,"1,042",11.0%,3.3%,-0.4%
51003010500,51,VA,003,Albemarle County,010500,925,2,622,0.3%,0,"2,148",0.0%,30,410,7.3%,3.3%,-0.4%
51003010600,51,VA,003,Albemarle County,010600,"3,257",4,"1,587",0.3%,3,"3,779",0.1%,77,"1,046",7.4%,3.3%,-0.4%
51003010700,51,VA,003,Albemarle County,010700,"2,654",12,908,1.3%,2,"2,817",0.1%,85,598,14.2%,3.3%,-0.4%
51003010800,51,VA,003,Albemarle County,010800,"2,595",3,674,0.4%,4,"2,796",0.1%,39,444,8.8%,3.3%,-0.4%
51003010901,51,VA,003,Albemarle County,010901,998,0,41,0.0%,5,"1,052",0.5%,1,27,3.7%,3.3%,-0.4%
51003010902,51,VA,003,Albemarle County,010902,412,0,8,0.0%,6,482,1.2%,0,5,0.0%,3.3%,-0.4%
51003010903,51,VA,003,Albemarle County,010903,115,0,2,0.0%,19,112,17.0%,0,1,0.0%,3.3%,-0.4%
51003011000,51,VA,003,Albemarle County,011000,"2,331",0,"1,203",0.0%,11,"2,563",0.4%,45,793,5.7%,3.3%,-0.4%
51003011100,51,VA,003,Albemarle County,011100,"1,715",12,"1,530",0.8%,0,"2,149",0.0%,108,"1,008",10.7%,3.3%,-0.4%
51003011200,51,VA,003,Albemarle County,011200,"2,323",11,"1,455",0.8%,0,"2,814",0.0%,100,959,10.4%,3.3%,-0.4%
51003011300,51,VA,003,Albemarle County,011300,"3,800",32,"2,150",1.5%,117,"5,025",2.3%,221,"1,417",15.6%,3.3%,-0.4%
51003011400,51,VA,003,Albemarle County,011400,"1,529",23,938,2.5%,24,"1,404",1.7%,137,618,22.2%,3.3%,-0.4%
51005070100,51,VA,005,Alleghany County,070100,451,0,#NULL!,0.0%,#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",5.5%,0.0%
51005080100,51,VA,005,Alleghany County,080100,"1,545",14,294,4.8%,3,"1,080",0.3%,64,194,33.0%,5.5%,0.0%
51005080201,51,VA,005,Alleghany County,080201,"1,122",13,370,3.5%,15,"1,663",0.9%,56,244,23.0%,5.5%,0.0%
51005080202,51,VA,005,Alleghany County,080202,"1,086",8,209,3.8%,0,"1,138",0.0%,35,138,25.4%,5.5%,0.0%
51005080301,51,VA,005,Alleghany County,080301,835,5,199,2.5%,8,826,1.0%,24,131,18.3%,5.5%,0.0%
51005080302,51,VA,005,Alleghany County,080302,557,3,97,3.1%,0,686,0.0%,12,64,18.8%,5.5%,0.0%
51007990100,51,VA,007,Amelia County,990100,"2,244",48,"1,243",3.9%,0,"2,585",0.0%,227,819,27.7%,4.7%,-0.4%
51007990200,51,VA,007,Amelia County,990200,"1,996",42,"1,058",4.0%,0,"2,220",0.0%,200,697,28.7%,4.7%,-0.4%
51009010100,51,VA,009,Amherst County,010100,"1,993",14,622,2.3%,1,"2,045",0.0%,76,410,18.5%,4.3%,0.0%
51009010200,51,VA,009,Amherst County,010200,"2,397",23,809,2.8%,5,"2,076",0.2%,119,533,22.3%,4.3%,0.0%
51009010300,51,VA,009,Amherst County,010300,"1,231",14,592,2.4%,6,"1,313",0.5%,76,390,19.5%,4.3%,0.0%
51009010401,51,VA,009,Amherst County,010401,"1,240",11,304,3.6%,1,"1,177",0.1%,55,200,27.5%,4.3%,0.0%
51009010402,51,VA,009,Amherst County,010402,"1,261",17,458,3.7%,0,"1,263",0.0%,83,302,27.5%,4.3%,0.0%
51009010502,51,VA,009,Amherst County,010502,206,2,21,9.5%,0,179,0.0%,8,14,57.1%,4.3%,0.0%
51009010503,51,VA,009,Amherst County,010503,"1,078",12,222,5.4%,1,996,0.1%,57,146,39.0%,4.3%,0.0%
51009010504,51,VA,009,Amherst County,010504,"1,484",18,505,3.6%,0,"1,606",0.0%,92,333,27.6%,4.3%,0.0%
51009010600,51,VA,009,Amherst County,010600,"1,038",12,290,4.1%,1,"1,108",0.1%,61,191,31.9%,4.3%,0.0%
51011040100,51,VA,011,Appomattox County,040100,"2,303",36,"1,103",3.3%,3,"3,833",0.1%,176,727,24.2%,4.7%,0.0%
51011040200,51,VA,011,Appomattox County,040200,"1,454",1,94,1.1%,3,123,2.4%,6,62,9.7%,4.7%,0.0%
51011040300,51,VA,011,Appomattox County,040300,"1,574",3,120,2.5%,0,5,0.0%,13,79,16.5%,4.7%,0.0%
51013100100,51,VA,013,Arlington County,100100,"1,674",4,994,0.4%,16,"1,692",0.9%,19,655,2.9%,2.6%,-9.1%
51013100200,51,VA,013,Arlington County,100200,"2,146",6,"1,298",0.5%,19,"2,229",0.9%,27,855,3.2%,2.6%,-9.1%
51013100300,51,VA,013,Arlington County,100300,"2,100",4,"1,093",0.4%,24,"2,145",1.1%,18,720,2.5%,2.6%,-9.1%
51013100400,51,VA,013,Arlington County,100400,"1,254",4,684,0.6%,21,"1,328",1.6%,15,451,3.3%,2.6%,-9.1%
51013100500,51,VA,013,Arlington County,100500,"1,508",5,891,0.6%,16,"1,554",1.0%,21,587,3.6%,2.6%,-9.1%
51013100600,51,VA,013,Arlington County,100600,"1,172",3,596,0.5%,21,"1,305",1.6%,14,393,3.6%,2.6%,-9.1%
51013100700,51,VA,013,Arlington County,100700,"2,282",13,"1,293",1.0%,5,"2,147",0.2%,55,852,6.5%,2.6%,-9.1%
51013100800,51,VA,013,Arlington County,100800,484,12,413,2.9%,10,517,1.9%,54,272,19.9%,2.6%,-9.1%
51013100900,51,VA,013,Arlington County,100900,"1,701",6,724,0.8%,12,"1,731",0.7%,27,477,5.7%,2.6%,-9.1%
51013101000,51,VA,013,Arlington County,101000,"1,227",4,731,0.5%,35,"1,267",2.8%,17,482,3.5%,2.6%,-9.1%
51013101100,51,VA,013,Arlington County,101100,"1,838",9,"1,317",0.7%,17,"2,057",0.8%,40,868,4.6%,2.6%,-9.1%
51013101200,51,VA,013,Arlington County,101200,"1,437",3,552,0.5%,11,"1,457",0.8%,14,364,3.8%,2.6%,-9.1%
51013101300,51,VA,013,Arlington County,101300,"2,368",17,"1,505",1.1%,25,"2,423",1.0%,72,992,7.3%,2.6%,-9.1%
51013101400,51,VA,013,Arlington County,101400,"5,073",15,"3,419",0.4%,74,"8,404",0.9%,64,"2,253",2.8%,2.6%,-9.1%
51013101500,51,VA,013,Arlington County,101500,"3,041",5,"1,179",0.4%,17,"3,308",0.5%,23,777,3.0%,2.6%,-9.1%
51013101600,51,VA,013,Arlington County,101600,"3,448",10,"1,376",0.7%,21,"3,863",0.5%,44,907,4.9%,2.6%,-9.1%
51013101700,51,VA,013,Arlington County,101700,"5,522",9,"1,958",0.5%,18,"6,195",0.3%,38,"1,290",2.9%,2.6%,-9.1%
