Criminal Offenses,FY 2008,FY 2007,FY 2006
Drunk In Public,278,248,252
Assault and Battery,281,274,251
Shoplifting and Larceny,626,618,570
Robbery/Theft,142,*162,
Forgery and Fraud,208,187,221
Juvenile Crimes,106,62,78
Weapon Violation,21,23,36
Drug Charges,188,260,279
Other Criminal Offenses,1134,1183,1291
Total Criminal Offenses,2984,2855,2978
