"Statistic
",Total
Stray Animals Picked Up,"9,980"
Unwanted Animals Turned in by Owner,818
Animals Returned to Owner by Officer (via License tag identification or some means of identification),226
Animals Claimed by Owner,"2,154"
Animals Adopted by Citizens,"1,271"
Animal Cruelty Investigations,"1,518"
Animal Bite Investigations,"1,169"
Animals Euthanized,"4,703"
