TYPE OF CALL RESPONDING TO,2010,2011,% CHANGE
Abandoned Auto,462,472,2.20%
Accident,"5,320","5,436",2.20%
Alarm,"4,685","4,462",-4.80%
Ambulance/Fire,952,736,-22.70%
Animal Case,"1,640","1,247",-24.00%
Assault,573,590,3.00%
Auto Theft,504,597,18.50%
Auto Theft Recovery,124,159,28.20%
Bomb Threat,5,10,100.00%
Burglary,566,574,1.40%
Citizen Assist,"1,341","1,452",8.30%
Disorderly,"4,397","4,468",1.60%
Domestic Trouble,"2,743","2,628",-4.20%
Drugs,783,892,13.90%
Drunk,"1,064",939,-11.70%
E911 Hang-up Calls,"1,291","1,542",19.40%
Escort,82,47,-42.70%
Fight,545,471,-13.60%
Homicide,0,0,0.00%
Larceny,"3,099","3,185",2.80%
Locked in Auto,58,52,-10.30%
Loud Party / Radio,272,227,-16.50%
Missing Person,293,284,-3.10%
Noise Complaint,"2,179","2,108",-3.30%
Other,"5,097","4,634",-9.10%
Parking,"3,573","4,195",17.40%
Phone Calls,365,406,11.20%
Property Lost / Found,748,777,3.90%
Prowler,7,6,-14.30%
Public Service,470,484,3.00%
Robbery,146,144,-1.40%
Sex Offense,167,167,0.00%
Suspicious Event,"2,866","3,077",7.40%
Traffic Hazard,925,616,-33.40%
Traffic Problem,340,275,-19.10%
Trespass,550,467,-15.10%
Trouble Unknown,"1,539","1,353",-12.10%
Vandalism,"1,159","1,072",-7.50%
Weapon,252,238,-5.60%
Total,"51,182","50,489",-1.40%
