Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,265,12
Manslaughter,0,0,1,0,1,0,5,0
Kidnaping,1,0,0,0,1,0,978,20
"Sex Offenses, Forcible",4,1,0,0,4,1,1046,234
Robbery,6,0,1,0,7,0,1565,377
Aggravated Assault,12,0,6,0,18,0,3733,447
Simple Assault/Intimidation,72,2,23,0,95,2,36945,4730
Arson,0,0,0,0,0,0,146,135
Extortion/Blackmail,0,0,0,0,0,0,47,17
Burglary,4,10,5,0,9,10,3746,892
Larceny,84,6,65,1,149,7,27506,4839
Motor Vehicle Theft,2,1,11,0,13,1,824,184
Counterfeiting/Forgery,32,0,117,3,149,3,2124,49
Fraud,17,0,103,1,120,1,4292,151
Embezzlement,4,0,21,0,25,0,1599,26
Stolen Property,12,0,4,0,16,0,849,151
Vandalism,19,1,8,1,27,2,3806,982
Drug/Narcotic Offenses,364,17,330,7,694,24,34015,2765
"Sex Offenses, Nonforcible",0,0,0,0,0,0,127,15
Pornography,1,0,0,0,1,0,171,43
Gambling,0,0,5,0,5,0,72,1
Prostitution,0,0,0,0,0,0,783,4
Bribery,0,0,0,0,0,0,9,0
Weapon Law Violations,12,1,358,13,370,14,3414,388
TOTAL GROUP A,646,39,1058,26,1704,65,128067,16462
Bad Checks,4,0,11,0,15,0,2266,5
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,242,1995
Disorderly Conduct,83,4,13,0,96,4,4371,985
Driving Under Influence,402,2,212,0,614,2,29681,177
Drunkenness,971,2,244,0,1215,2,33678,209
"Family Offenses, Nonforcible",1,0,3,1,4,1,2170,46
Liquor Laws Violations,916,20,1318,66,2234,86,10620,1844
Peeping Tom,1,0,0,0,1,0,55,3
Runaway,0,0,0,0,0,0,0,3512
Trespass of Real Property,190,3,624,23,814,26,10237,964
Conspiracy,0,0,4,0,4,0,103,5
All Other (except Traffic),509,16,7939,116,8448,132,102470,5428
TOTAL GROUP B,3077,47,10368,206,13445,253,195893,15173
GRAND TOTAL,3723,86,11426,232,15149,318,323960,31635
