Race/Gender,Male,Female
White ,286,201
Black ,116,145
Am.Ind./Alskn,1,0
Asian/Pacfc Isl.,5,3
Unknown Race ,22,13
TOTAL ,430,362
Note: Gender not reported = 13.,,
