Offense,Number of Completed Offenses,Value Stolen
Bribery,17,"$10,700"
Burglary ,"27,872","59,959,134"
Embezzlement ,"2,826","15,499,699"
Extortion/Blackmail ,65,"95,635"
False Pretenses/Swindle/Confidence Game ,"11,052","26,090,929"
Credit Card/ATM Fraud ,"8,065","5,562,227"
Impersonation ,"4,471","1,333,885"
Welfare Fraud ,103,"343,773"
Wire Fraud ,522,"3,052,294"
TOTAL FRAUD: ,"24,213","$36,383,108"
Kidnaping/Abduction ,"1,219","987,470"
Pocket Picking ,406,"149,324"
Purse Snatching ,236,"87,990"
Shoplifting ,"27,731","5,521,318"
Theft From Building ,"20,616","26,472,093"
Theft From Coin-Operated Machine ,338,"52,887"
Theft From Motor Vehicle ,"31,964","20,484,996"
Theft of Motor Vehicle Parts/Accessories ,"10,994","4,338,502"
All Other Larceny ,"50,380","55,187,129"
TOTAL LARCENY: ,"142,665","$112,294,239"
Motor Vehicle Theft ,"9,288","57,995,206"
Robbery,"$4,671","5,755,341"
GRAND TOTAL ,"$212,836","$288,980,532"
