Group B Offense Categories,Male,Female,"Rate per 100,000 Inhabitants"
Bad Checks ,998,1273,28.05
Curfew/Loitering/Vagrancy Violations ,1547,690,27.63
Disorderly Conduct ,3659,1697,66.15
Driving Under the Influence ,22694,7164,368.77
Drunkenness ,27969,5918,418.53
"Family Offenses, Nonviolent ",1708,508,27.37
Liquor Law Violations ,9005,3459,153.94
Peeping Tom,55,3,0.72
Runaway,1584,1928,43.38
Trespass of Real Property,8963,2238,138.34
Conspiracy to Commit Group A Offense,70,38,1.33
All Other Offenses (except most traffic),79300,28598,1332.63
Total ,157552,53514,2606.85
