Location of Motor Vehicle Theft,Number
Air/Bus/Train Terminal,25
Bank/Savings & Loan,5
Bar/Night Club,27
Church/Synagogue/Temple,25
Commercial/Office Building,201
Construction Site,22
Convenience Store,82
Department/Discount Store,29
Drug Store/Dr Office/Hospital,18
Field/Woods,107
Government/Public Building,34
Grocery/Supermarket,18
Highway/Road/Alley,2015
Hotel/Motel/Etc.,101
Jail/Penitentiary,9
Lake/Waterway,1
Liquor Store,0
Parking Lot/Garage,2573
Rental/Storage Facility,39
Residence/Home,3625
Restaurant,38
School/College,57
Service/Gas Station,101
Specialty Store,91
Other/Unknown,373
Total,9616
