Officers Assaulted Activity,Number of Offenses,Percent Distribution
"1. Responding to ""disturbance"" calls (family quarrels, man with gun, etc.) ",408,28.5
2. Burglaries in progress or pursuing burglary suspects ,10,0.7
3. Robberies in progress or pursuing robbery suspects ,7,0.5
4. Attempting other arrests ,302,21.1
"5. Civil disorder (riot, mass disobedience) ",15,1
"6. Handling, transporting, custody of prisoners ",188,13.1
7. Investigating suspicious persons or circumstances ,125,8.7
8. Ambush - no warning ,2,0.1
9. Mentally deranged ,33,2.3
10. Traffic pursuits and stops ,118,8.2
11. All Other ,225,15.7
TOTAL ,1433,100
