Classification,Number of Offenses
Pocket Picking,409
Purse Snatching,250
Shoplifting,28013
Theft From Building,20715
Theft From Coin-Operated Machine or Device,352
Theft From Motor Vehicles,32940
Theft of Motor Vehicle Parts & Accessories,11060
All Other Larceny,50752
Total,144491
