Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement ,0,0,0,0,5,21,26
Stolen Property Offenses ,0,5,25,30,40,51,151
Destruction/Damage/Vandalism ,25,117,249,179,209,203,982
Drug/Narcotic Violations ,3,33,334,467,694,1201,2732
Drug Equipment Violations ,0,0,6,8,10,9,33
Incest ,0,0,0,0,0,0,0
Statutory Rape ,0,0,0,0,2,13,15
Pornography/Obscene Material ,0,3,19,5,6,10,43
Betting/Wagering ,0,0,0,0,0,1,1
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0
Gambling Equipment Violations ,0,0,0,0,0,0,0
Sports Tampering ,0,0,0,0,0,0,0
Prostitution ,0,0,0,0,1,3,4
Assisting or Promoting Prostitution ,0,0,0,0,0,0,0
Bribery ,0,0,0,0,0,0,0
Weapon Law Violations ,4,39,81,57,85,122,388
Total Group A Arrests ,117,1162,3535,3079,3878,4691,16462
Bad Checks,2,0,0,0,1,2,5
Curfew/Loitering/Vagrancy Violations ,3,48,371,367,526,680,1995
Disorderly Conduct,0,61,284,212,233,195,985
Driving Under the Influence ,1,3,0,9,40,124,177
Drunkenness,1,0,15,42,59,92,209
"Family Offenses, Nonviolent ",0,0,9,5,14,18,46
Liquor Law Violations ,0,7,128,259,526,924,1844
Peeping Tom ,0,0,0,0,0,3,3
Runaway ,39,138,709,823,960,843,3512
Trespass of Real Property ,7,45,188,195,239,290,964
Conspiracy to Commit Group A Offense ,0,1,0,1,2,1,5
All Other Offenses (except most traffic) ,31,223,890,1086,1441,1757,5428
Total Group B Arrests ,84,526,2594,2999,4041,4929,15173
