Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
COLLEGE & UNIVERSITY,,,,
Christopher Newport U. PD,16,15,1,7
Emory & Henry College PD,2,2,,2
Ferrum College PD,8,7,1,1
George Mason Univ. PD,54,43,11,19
Hampton University PD,24,20,4,16
James Madison Univ. PD,31,29,2,10
J Sargeant Reynolds C.C. PD,12,8,4,9
Longwood University PD,15,13,2,8
Lord Fairfax C.C. PD,3,3,,
Norfolk State University PD,24,17,7,13
Northern Virginia C.C. PD,47,40,7,6
Old Dominion University PD,54,48,6,15
Radford University PD,23,18,5,14
Richard Bland College PD,7,7,,
Thomas Nelson College PD,10,8,2,4
U. of Mary Washington PD,15,12,3,6
University of Richmond PD,22,18,4,12
University of Virginia PD,51,37,14,67
UVA's College at Wise PD,9,8,1,1
Va. Commonwealth U. PD,79,64,15,119
Va. Military Institute PD,8,7,1,1
Virginia State University PD,21,14,7,15
Virginia Tech University PD,52,44,8,23
Virginia Western C.C. PD,8,8,,
William & Mary College PD,18,16,2,5
COLLEGE AND UNIVERSITY TOTAL,613,506,107,373
