,2011–12 Actual,2012–13 Adopted
Circuit Court Felony Cases,"2,081","2,100"
Circuit Court Appeals,"1,032","1,100"
General District Criminal Cases,"10,425","10,600"
General District Traffic Cases,"26,942","27,000"
Juvenile Court Criminal Cases,"2,785","2,800"
Juvenile Court Traffic Cases,674,700
Juvenile & Domestic Adult Cases,"4,133","4,200"
Victim/Witness Direct Service Clients,536,600
