,2011–12 Actual,2012–13 Adopted
Respond to emergency calls for service in less than 5 minutes,*TBD,Less than 5 minutes
Respond to non-emergency call for service less than 11 minutes,*TBD,Less than 11 minutes
Clearance Rate for violent crimes,*TBD,Exceed National Average of 47.2%
Clearance Rate for property crimes,*TBD,Exceed National Average of 18.3%
