Code of Virginia Title,Count,% of Total
Title 4 - Virginia ABC Act,5352,72.30%
"Title 18 - Crimes and Offenses, Generally",1674,22.60%
Other Titles - Code of Virginia,377,5.10%
Total,7403,100%
