Civil Process / Criminal & Civil,Total
Subpoenas served,6506
Inmate transports,435
Jury summons served,648
Temporary Detention Orders Served,42
Criminal warrants served,359
Extraditions completed,111
Levies served,977
Other civil process served,1548
