OFFENSE,2008,2009,CHANGE,%CHANGE
DESTRUCTION/VANDALISM,"1,893","1,646",-247,-13.0%
PROSTITUTION,22,29,7,31.8%
DRUG/NARCOTIC OFFENSES,450,469,19,4.2%
GAMBLING,13,8,-5,-38.5%
DISORDERLY CONDUCT,191,192,1,0.5%
DRIVING UNDER THE INFLUENCE,506,463,-43,-8.5%
DRUNKENNESS,982,740,-242,-24.6%
LIQUOR LAW VIOLATIONS,550,566,16,2.9%
TOTAL,"4,607","4,113",-494,-10.7%
