,3/21/2009,06/27/2009,09/05/2009
VEHICLE STOPS,51,806,1115
SOBRIETY CHECKS,8,27,39
DWI ARRESTS,6,7,8
VIRGINIA UNIFORM SUMMONES ISSUED,22,41,26
TRAFFIC VIOLATION WARNINGS,25,24,35
VEHICLE IMPOUNDS,4,13,9
SUSPENSION NOTIFICATION,0,2,2
CRIMINAL ARREST,1,4,3
