2009 Police Department Authorized Personnel,Total
CHIEF,1
DEPUTY CHIEF,4
CAPTAIN,8
LIEUTENANT,13
SERGEANT,43
OFFICER,246
SWORN TOTAL,315
CIVILIAN,152
TOTAL,467
