Survey Year,UnitID,Institution Name,Campus ID,Campus Name,Institution Size,Illegal Weapons Possession,Drug Law Violations,Liquor Law Violations
2007,419457,Argosy University-Washington DC,1,Argosy University - Washington,1007,0,0,0
2007,231420,Averett University,1,Main Campus,865,0,0,0
2007,449931,Averett University-Non-traditional programs,1,GPS-Main Campus,1677,0,0,0
2007,449931,Averett University-Non-traditional programs,2,GPS-Chesapeake,1677,0,0,0
2007,449931,Averett University-Non-traditional programs,3,GPS-Quantico,1677,0,0,0
2007,231536,Blue Ridge Community College,1,Weyers Cave Campus,4084,0,0,0
2007,231581,Bridgewater College,1,Main Campus,1541,0,0,0
2007,231828,Bryant & Stratton College-Richmond,1,Richmond Campus,516,0,0,0
2007,231712,Christopher Newport University,1,Main Campus,4884,0,0,0
2007,231624,College of William and Mary,1,Main Campus,7795,0,0,0
2007,231882,Danville Community College,1,Main Campus,4016,0,0,0
2007,231970,Eastern Virginia Medical School,1,Main Campus,725,0,0,0
2007,442806,Edward Via College of Osteopathic Medicine,1,Virginia Campus,645,0,0,0
2007,442310,Everest College-Arlington,1,Everest College,259,0,0,0
2007,232089,Ferrum College,1,Ferrum College,1233,0,23,96
2007,232186,George Mason University,1,Main Campus,30276,0,0,0
2007,232256,Hampden-Sydney College,1,Main Campus,1122,0,0,0
2007,232265,Hampton University,1,Main Campus,5658,0,0,0
2007,232423,James Madison University,1,Main Campus-Harrisonburg,17918,0,0,58
2007,231837,Jefferson College of Health Sciences,1,JCHS Main Campus,971,0,0,0
2007,232557,Liberty University,1,Main Campus,27068,0,0,3
2007,232566,Longwood University,1,Main Campus,4727,0,0,0
2007,232575,Lord Fairfax Community College,1,Middletown,5655,0,0,0
2007,232706,Marymount University,1,Marymount University,3609,0,2,0
2007,232788,Mountain Empire Community College,1,Main Campus,3017,0,0,0
2007,232867,New River Community College,1,Main Campus,4586,0,0,0
2007,232937,Norfolk State University,1,Norfolk State University,6155,0,0,0
2007,232946,Northern Virginia Community College,1,Annandale Campus,41266,0,0,0
2007,232946,Northern Virginia Community College,2,Alexandria Campus,41266,0,0,0
2007,232946,Northern Virginia Community College,3,Loudoun Campus,41266,0,0,0
2007,232946,Northern Virginia Community College,4,Manassas Campus,41266,0,0,0
2007,232946,Northern Virginia Community College,5,Woodbridge Campus,41266,0,0,0
2007,232946,Northern Virginia Community College,6,Medical Education Campus,41266,0,0,0
2007,232982,Old Dominion University,1,Old Dominion University,22287,0,0,7
2007,233116,Piedmont Virginia Community College,1,MAIN CAMPUS,4674,0,0,0
2007,233277,Radford University,1,Main Campus,9122,0,0,0
2007,233301,Randolph College,1,RANDOLPH COLLEGE,656,0,0,0
2007,233541,Shenandoah University,1,Main Campus,3393,0,0,0
2007,233639,Southside Virginia Community College,1,Christanna campus,5255,0,0,0
2007,233648,Southwest Virginia Community College,1,Main Campus,3716,0,0,0
2007,440341,The Art Institute of Washington,1,The Art Institute of Washington,1648,0,3,4
2007,233754,Thomas Nelson Community College,1,Main Campus,9368,0,0,0
2007,232681,University of Mary Washington,1,University of Mary Washington,5001,0,0,0
2007,233374,University of Richmond,1,Main Campus,4324,0,1,2
2007,234076,University of Virginia-Main Campus,1,Main Campus,24257,0,0,0
2007,234030,Virginia Commonwealth University,1,Monroe Park Campus,31700,0,0,0
2007,234030,Virginia Commonwealth University,2,MCV Campus,31700,0,0,0
2007,233912,Virginia Intermont College,1,Virginia Intermont College,224,0,0,0
2007,234085,Virginia Military Institute,1,Virginia Military Institute,1378,0,0,0
2007,233921,Virginia Polytechnic Institute and State University,1,Virginia Polytechnic Institute and State Univ,29898,0,0,3
2007,234155,Virginia State University,1,Main Campus,4720,0,0,0
2007,234164,Virginia Union University,1,Main Campus,1535,0,0,0
2007,233949,Virginia Western Community College,1,Main Campus,8653,0,0,0
2007,234207,Washington and Lee University,1,Main Campus,2181,0,0,81
2007,234377,Wytheville Community College,1,Wytheville Community College Main Campus,3072,0,0,0
