Year,Homicides
2012,0
2011,1
2010,3
2009,5
2008,4
2007,8
2006,4
2005,4
2004,2
2003,4
2002,2
2001,3
2000,4
1999,2
1998,7
1997,5
1996,7
1995,2
1994,9
1993,9
1992,4
1991,7
1990,8
1989,8
1988,5
1987,8
1986,4
1985,7
1984,6
1983,6
1982,6
1981,17
1980,7
1979,12
1978,11
1977,16
1976,14
1975,13
1974,17
1973,15
1972,21
1971,14
1970,20
