Crime,1999,2000,2001,2002,2003,2004,2005,2006,2007
Murder,9,10,4,7,4,4,8,4,5
Rape,18,19,22,16,28,26,15,5,9
Robbery,102,97,101,91,78,106,134,76,96
Agg.Assault,57,176,220,232,171,193,157,102,86
Burglary,390,362,347,343,322,318,365,436,552
Larceny,1870,2177,1980,1870,1833,1876,1798,1612,1782
MV Theft,141,149,159,122,163,140,145,130,112
