Date,Offense,Street,Subdivison,Zip,E.D.,City,Area
1/26/2002,DRUNK IN PUBLIC,AIR COBRA & PHANTOM CO,10,23665,2,TABB,100
4/6/2002,"ASSAULT, SIMPLE",BOBCAT DRIVE,10,23665,2,TABB,100
3/5/2002,CITIZEN REQUESTED ASSISTANCE,BRAXTON COURT,10,23665,2,TABB,100
6/25/2002,CITIZEN REQUESTED ASSISTANCE,BRONCO DRIVE,10,23665,2,TABB,100
3/9/2002,"ASSAULT, SIMPLE, DOMESTIC",CORSAIR DRIVE,10,23665,2,TABB,100
3/21/2002,"ASSAULT, SIMPLE",EAGLE AVENUE & INVADER,10,23665,2,TABB,100
4/16/2002,HIT AND RUN -PROPERTY DAMAGE,ELEVENTH STREET,10,23665,5,TABB,100
9/21/2002,"ASSAULT, SIMPLE, DOMESTIC",ELEVENTH STREET,10,23665,5,TABB,100
2/13/2002,"ASSAULT, SIMPLE, DOMESTIC",FIFTH AVE,10,23665,2,TABB,100
3/6/2002,CONTRIBUTING TO THE DELINQUENC,FIFTH AVE,10,23665,2,TABB,100
3/22/2002,CITIZEN REQUESTED ASSISTANCE,FIFTH AVE,10,23665,2,TABB,100
4/3/2002,OBJECT SEXUAL PENETRATION,FIFTH AVE,10,23665,2,TABB,100
5/18/2002,"ASSAULT, SIMPLE, DOMESTIC",FIFTH AVE,10,23665,2,TABB,100
7/1/2002,"ASSAULT, SIMPLE, DOMESTIC",FIFTH AVE,10,23665,2,TABB,100
7/10/2002,"ASSAULT, SIMPLE, DOMESTIC",FIFTH AVE,10,23665,2,TABB,100
9/4/2002,FORCIBLE SODOMY,FIFTH AVE,10,23665,2,TABB,100
10/12/2002,DRUNK IN PUBLIC,FIFTH AVE,10,23665,2,TABB,100
10/12/2002,CITIZEN REQUESTED ASSISTANCE,FIFTH AVE,10,23665,2,TABB,100
3/19/2002,PETIT LARCENY,FIRST STREET,10,23665,2/5/2015,TABB,100
10/14/2002,CITIZEN REQUESTED ASSISTANCE,FIRST STREET,10,23665,2/5/2015,TABB,100
1/29/2002,CURSING/OBSCENE LANGUAGE,FIRST STREET & BETHEL MA,10,23665,2/5/2015,TABB,100
10/20/2002,DRUNK IN PUBLIC,FIRST STREET & EAGLE AVE,10,23665,2/5/2015,TABB,100
2/19/2002,CITIZEN REQUESTED ASSISTANCE,FLYER DRIVE,10,23665,2,TABB,100
8/5/2002,"ASSAULT, SIMPLE, DOMESTIC",FORTH STREET,10,23665,2,TABB,100
2/5/2002,CONTRIBUTING TO THE DELINQUENC,FOURTH STREET,10,23665,2,TABB,100
2/10/2002,UNLAWFUL PURCHASE OR POSSESS A,FOURTH STREET,10,23665,2,TABB,100
2/18/2002,CITIZEN REQUESTED ASSISTANCE,FOURTH STREET,10,23665,2,TABB,100
4/21/2002,"DAMAGE PROPERTY, PRIVATE",FOURTH STREET,10,23665,2,TABB,100
6/14/2002,UNLAWFUL PURCHASE OR POSSESS A,FOURTH STREET,10,23665,2,TABB,100
8/28/2002,TRESPASSING,FOURTH STREET,10,23665,2,TABB,100
7/24/2002,"LARCENY,FROM MOTOR VEHICLE",GEORGE WASH MEMORIAL,,23665,,TABB,100
8/19/2002,GRAND LARCENY,HAMILTON COURT,10,23665,2,TABB,100
9/17/2002,TRESPASSING,HAMILTON COURT,10,23665,2,TABB,100
5/17/2002,THREATEN BODILY HARM,HAVOC COURT,10,23665,2,TABB,100
9/23/2002,RUNAWAY JUVENILE,HAVOC COURT,10,23665,2,TABB,100
4/19/2002,AGGRAVATED SEXUAL BATTERY,HAVOC DRIVE,10,23665,2,TABB,100
4/14/2002,"ASSAULT, SIMPLE, DOMESTIC",HAWK COURT,10,23665,2,TABB,100
3/2/2002,"ASSAULT, SIMPLE, DOMESTIC",HENRY COURT,10,23665,2,TABB,100
8/29/2002,CITIZEN REQUESTED ASSISTANCE,HENRY COURT,10,23665,2,TABB,100
2/16/2002,ABDUCTION & KIDNAPPING,HERCULES & SABRE COURT,10,23665,2,TABB,100
7/20/2002,CITIZEN REQUESTED ASSISTANCE,INVADER DRIVE,10,23665,2,TABB,100
10/13/2002,DRUNK IN PUBLIC,INVADER DRIVE,10,23665,2,TABB,100
2/24/2002,CITIZEN REQUESTED ASSISTANCE,JEFFERSON COURT,10,23665,2,TABB,100
2/24/2002,MAIMING,JEFFERSON COURT,10,23665,2,TABB,100
3/3/2002,UNAUTHORIZED USE OF VEHICLE,JEFFERSON COURT,10,23665,2,TABB,100
9/26/2002,"ASSAULT, SIMPLE",JEFFERSON COURT,10,23665,2,TABB,100
7/23/2002,CITIZEN REQUESTED ASSISTANCE,LEE COURT,10,23665,2,TABB,100
8/13/2002,PORNOGRAPHY/OBSCENE MATERIAL,LIGHTENING DRIVE,10,23665,2,TABB,100
1/4/2002,ATTEMPTED SUICIDE,MUSTANG COURT,10,23665,2,TABB,100
7/18/2002,"DAMAGE PROPERTY, PRIVATE",MUSTANG COURT,10,23665,2,TABB,100
10/22/2002,ANNOYING PHONE CALLS,MUSTANG COURT,10,23665,2,TABB,100
11/5/2002,CITIZEN REQUESTED ASSISTANCE,NINTH STREET,10,23665,5,TABB,100
11/11/2002,CITIZEN REQUESTED ASSISTANCE,NINTH STREET,10,23665,5,TABB,100
5/2/2002,RUNAWAY JUVENILE,PROVIDER DRIVE,10,23665,2,TABB,100
1/26/2002,CITIZEN REQUESTED ASSISTANCE,SABRE COURT,10,23665,2,TABB,100
5/4/2002,CREDIT CARD FRAUD,SEVETH AVENUE,10,23665,5,TABB,100
11/20/2002,GRAND LARCENY,SEVETH AVENUE,10,23665,5,TABB,100
7/6/2002,"DAMAGE PROPERTY, PRIVATE",SHRIKE COURT,10,23665,2,TABB,100
6/1/2002,"ASSAULT, SIMPLE, DOMESTIC",SKYRAIDER COURT,10,23665,2,TABB,100
6/16/2002,RUNAWAY JUVENILE,STARFIGHTER COURT,10,23665,2,TABB,100
6/18/2002,CARNAL KNOWLEDGE OF A CHILD 13,STARFIGHTER COURT,10,23665,2,TABB,100
9/10/2002,"ASSAULT, SIMPLE",TALON & HERCULES,10,23665,2,TABB,100
3/9/2002,CITIZEN REQUESTED ASSISTANCE,TALON DRIVE,10,23665,2,TABB,100
2/19/2002,CITIZEN REQUESTED ASSISTANCE,TENTH STREET,10,23665,5,TABB,100
4/26/2002,CITIZEN REQUESTED ASSISTANCE,TENTH STREET,10,23665,5,TABB,100
5/8/2002,PETIT LARCENY,THIRD STREET,10,23665,5,TABB,100
6/9/2002,DRUNK IN PUBLIC,THIRD STREET,10,23665,5,TABB,100
7/28/2002,MOTOR VEHICLE THEFT,THIRD STREET,10,23665,5,TABB,100
5/10/2002,"MANUF, POSSESS, USE EXPLOSIVE",TWELFTH ST ST & THIRTEEN,10,23665,2,TABB,100
5/25/2002,DRUNK IN PUBLIC,TWELFTH STREET & BIG BE,10,23665,2,TABB,100
5/28/2002,MAIMING,VOODOO COURT,10,23665,2,TABB,100
7/1/2002,RUNAWAY JUVENILE,VOODOO COURT,10,23665,2,TABB,100
2/28/2002,"ASSAULT, SIMPLE, DOMESTIC",WARHAWK DRIVE,10,23665,2,TABB,100
5/9/2002,RUNAWAY JUVENILE,WARHAWK DRIVE,10,23665,2,TABB,100
6/21/2002,RUNAWAY JUVENILE,WARHAWK DRIVE,10,23665,2,TABB,100
8/11/2002,"DAMAGE PROPERTY, PRIVATE",WASHINGTON COURT,10,23665,2,TABB,100
10/12/2002,"ASSAULT, SIMPLE",WASHINGTON COURT,10,23665,2,TABB,100
10/18/2002,CITIZEN REQUESTED ASSISTANCE,WASHINGTON COURT,10,23665,2,TABB,100
