Civil Process,Total
"Total civil process served January 1, 2012 to December 31, 2012","19,866"
"Total civil process served by Lt. Gerald Lacy, Sgt. Terry Cook, Deputy Devon Tweedy, Deputy John Wingfield, Deputy Allen Bowyer and Deputy Larry Rose","15,050"
"Total EPO, PPO, and OOP (includes all protective orders)","1,942"
Writ of Possession served,211
Levies served,40
