Traffic Statistic,2008,2009,2010,2011,2012
Traffic Summons,1340,1561,2734,1700,866
Speeding,760,879,1704,1081,441
Suspended,79,71,120,87,34
DUIs,91,94,103,80,59
Reckless Driving,37,53,49,29,
