Year,Number of Alcohol-Related Crashes,Persons Injured in Alcohol-Related Crashes,Persons Killed in Alcohol-Related Crashes
2001,130,96,1
2002,115,72,3
2003,142,68,6
2004,164,95,9
2005,119,76,6
2006,128,75,4
2007,120,79,1
