Year,Number of Crashes,Persons Injured in Crashes,Persons Killed in Crashes
2001,1392,626,5
2002,1547,657,8
2003,1698,627,11
2004,1842,762,15
2005,1545,629,15
2006,1588,678,10
2007,1468,613,11
