Calendar Year,2005,2006,2007,2008,2009
Total Arrests*,491,596,741,451,399
"Civil Process (Subpoenas, Custody Orders, etc)",3521,3699,2825,3276,3131
Calls for Service (Sheriff's Office),9806,10532,10976,10180,10782
Motor Vehicle Accidents with Property Damage,203,268,294,243,274
Motor Vehicle Accidents with Personal Injury,110,110,119,96,110
Traffic Stops,3164,3475,4071,4092,3791
Calls for Service (911 Emergency Service),18401,19198,20215,19670,20057
