Month ,Adult Male ,Adult Female ,Juvenile ,TOTAL
January ,42,12,0,54
February ,52,12,0,64
March ,65,16,1,82
April ,79,11,1,91
May ,60,12,0,72
June ,42,15,0,57
July ,50,14,1,65
August ,48,16,1,65
September ,55,18,2,75
October ,52,7,0,59
November ,58,17,0,75
December ,46,12,2,60
TOTAL ,649,162,8,819
