Year,Funds Awarded,Grant
FY 2013/2014,"$24,480","US DOT Federal Highway Safety Funds through the VA DMV to target speed, occupancy protection and driving under the influence offenses."
FY 2014/2015,"$20,930","US DOT Federal Highway Safety Funds through the VA DMV to target speed, occupancy protection and driving under the influence offenses."
