CIU Accomplishments in 2014,Statistic
Investigative Cases Initiated,342
Cases Cleared,198
Clearance Rate,58%
Criminal Arrests Made,26
Felony Charges,54
Misdemeanor Charges,11
Arrest Rate,7%
