Communication Services,FY 2012,FY 2011,FY 2010
"Calls received (Police, Fire and Rescue)","36,573","37,467","38,241"
Escorts,261,325,518
Accidents Worked,966,866,1083
Assist Motorists,2367,2316,2477
Alarms Answered,1044,908,884
First Aid (Police Response),2510,1881,944
Fire Dept.(Police Respone),408,321,145
Total of Communication Services,"44,129","44,084","44,292"
