ID,State,Stop - Date,Stop - Time,Location - Raw,County Name,County FIPS,Fine Grained Location,Police Department,Driver Gender,Driver Age - Raw,Driver Age,Driver Race - Raw,Driver Race,Violation - Raw,Violation,Search Conducted,Search Type - Raw,Search Type,Contraband Found,Stop Outcome,Is Arrested,Officer ID,Officer Race
VA-2006-013725,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4039,White
VA-2006-013726,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4039,White
VA-2006-013727,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4039,White
VA-2006-013728,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4039,White
VA-2006-013729,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4808,White
VA-2006-013730,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4808,White
VA-2006-013731,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4808,White
VA-2006-013732,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4808,White
VA-2006-013733,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4808,White
VA-2006-013734,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-013735,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-016765,VA,2006-01-14,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,3923,White
VA-2006-018542,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,TRUE,,,,,,6015,White
VA-2006-018543,VA,2006-01-14,,84,Scott County,51169,,,,,,White,White,,,TRUE,,,,,,6015,White
VA-2006-023375,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-023376,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-023377,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-023378,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-023379,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023380,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023381,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023382,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023383,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023384,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023385,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023386,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023387,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023388,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023389,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023390,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-023391,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-023392,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-023393,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-023394,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-023395,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-023396,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-023397,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023398,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023399,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023400,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023401,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023402,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023403,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023404,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023405,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023406,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023407,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-023408,VA,2006-01-21,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,6015,White
VA-2006-026465,VA,2006-01-21,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,3923,White
VA-2006-026466,VA,2006-01-21,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,3923,White
VA-2006-026467,VA,2006-01-21,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,6015,White
VA-2006-026468,VA,2006-01-21,,84,Scott County,51169,,,,,,Black,Black,,,FALSE,,,FALSE,,,6015,White
VA-2006-027743,VA,2006-01-21,,84,Scott County,51169,,,,,,Hispanic,Hispanic,,,FALSE,,,FALSE,,,3923,White
VA-2006-027744,VA,2006-01-21,,84,Scott County,51169,,,,,,Hispanic,Hispanic,,,FALSE,,,FALSE,,,6015,White
VA-2006-027745,VA,2006-01-21,,84,Scott County,51169,,,,,,Hispanic,Hispanic,,,FALSE,,,FALSE,,,6015,White
