Arrests by Offense,Total County,
,Adult,Juvenile
Murder,111,6
Manslaughter,4,0
Kidnaping,350,38
"Sex Offenses, Forcible",549,139
Robbery,538,125
Aggravated Assault,25,355
Simple Assault/Intimidation,15390,3002
Arson,97,115
Extortion/Blackmail,16,0
Burglary,1577,618
Larceny,8927,2331
Motor Vehicle Theft,533,143
Counterfeiting/Forgery,1301,47
Fraud,1672,68
Embezzlement,768,44
Stolen Property,376,75
Vandalism,1676,849
Drug/Narcotic Offenses,12167,1443
"Sex Offenses, Nonforcible",74,13
Pornography,38,2
Gambling,26,0
Prostitution,86,2
Bribery,6,1
Weapon Law Violations,1340,351
TOTAL GROUP A,49627,9767
Bad Checks,4307,5
Curfew/Loitering/Vagrancy,31,691
Disorderly Conduct,1743,1081
Driving Under Influence,15531,121
Drunkenness,10887,121
"Family Offenses, Nonforcible",459,10
Liquor Laws Violations,2127,764
Peeping Tom,39,1
Runaway,1,2666
Trespass of Real Property,2403,424
Conspiracy,138,12
All Other (except Traffic),38225,2791
TOTAL GROUP B,75891,8687
GRAND TOTAL,125518,18454
