Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",6,0
Robbery,9,2
Aggravated Assault,29,2
Simple Assault/Intimidation,154,8
Arson,0,2
Extortion/Blackmail,0,0
Burglary,62,5
Larceny,252,27
Motor Vehicle Theft,16,0
Counterfeiting/Forgery,45,0
Fraud,37,0
Embezzlement,4,0
Stolen Property,7,0
Vandalism,31,2
Drug/Narcotic Offenses,156,11
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,31,1
TOTAL GROUP A,845,60
Bad Checks,4,0
Curfew/Loitering/Vagrancy,1,1
Disorderly Conduct,14,0
Driving Under Influence,208,4
Drunkenness,241,5
"Family Offenses, Nonforcible",7,1
Liquor Laws Violations,40,15
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,14,3
Conspiracy,1,0
All Other (except Traffic),194,17
TOTAL GROUP B,724,46
GRAND TOTAL,1569,106
